Ileak	T	Leff
5.007349e-07	7.231500e+02	2.090204e-08
1.391152e-10	3.181500e+02	2.101224e-08
1.597813e-10	3.264153e+02	2.101224e-08
1.839871e-10	3.346806e+02	2.101224e-08
2.121107e-10	3.429459e+02	2.101224e-08
2.445406e-10	3.512112e+02	2.101224e-08
2.816737e-10	3.594765e+02	2.101224e-08
3.239132e-10	3.677418e+02	2.101224e-08
3.716664e-10	3.760071e+02	2.101224e-08
4.253443e-10	3.842724e+02	2.101224e-08
4.853588e-10	3.925378e+02	2.101224e-08
5.521196e-10	4.008031e+02	2.101224e-08
6.260369e-10	4.090684e+02	2.101224e-08
7.075174e-10	4.173337e+02	2.101224e-08
7.969641e-10	4.255990e+02	2.101224e-08
8.947753e-10	4.338643e+02	2.101224e-08
1.001345e-09	4.421296e+02	2.101224e-08
1.117060e-09	4.503949e+02	2.101224e-08
1.242303e-09	4.586602e+02	2.101224e-08
1.377451e-09	4.669255e+02	2.101224e-08
1.522873e-09	4.751908e+02	2.101224e-08
1.678935e-09	4.834561e+02	2.101224e-08
1.845995e-09	4.917214e+02	2.101224e-08
2.024407e-09	4.999867e+02	2.101224e-08
2.214523e-09	5.082520e+02	2.101224e-08
2.416688e-09	5.165173e+02	2.101224e-08
2.631253e-09	5.247827e+02	2.101224e-08
